Temperatura (Â°C),1550,1720,1810,1860,1915
0,"0,000","0,00015","0,0003","0,00038","0,00055"
2,"0,002","0,0048","0,01","0,0096","0,0098"
4,"0,004","0,0125","0,0197","0,0229","0,0244"
6,"0,006","0,0249","0,0404","0,0432","0,0424"
8,"0,007","0,0418","0,059","0,0633","0,0698"
10,"0,009","0,0567","0,0799","0,0905","0,09917"
15,"0,015","0,1056","0,156","0,166","0,18"
20,"0,016","0,1606","0,238","0,265","0,282"
40,"0,016","0,2683","0,606","0,817","0,895"
60,"0,016","0,301","0,906","1,312","1,525"
80,"0,015","0,319","1,47","1,769","2,13"
100,"0,019","0,32","1,6","2,1","2,758"
120,"0,020","0,308","1,62","2,23","3,287"
140,"0,018","0,31","1,545","2,27","3,45"
160,"0,018","0,29","1,548","2,26","3,64"
180,"0,018","0,302","1,5","2,23","3,8"
200,"0,021","0,305","1,46","2,53","3,78"
250,"0,021","0,309","1,74","2,48","4,04"
300,"0,024","0,324","1,65","2,5","3,99"
350,"0,024","0,33","1,56","2,45","4,46"
400,"0,021","0,348","1,612","2,4","4,397"
450,"0,021","0,359","1,58","2,25","4,4"
500,"0,024","0,361","1,57","2,05","4,44"