Volts,r,R,delta_r,delta_R,V_real,lambda_tension,lambda_tension_uncertainty,lambda_d1,lambda_d1_uncertainty,lambda_d2,lambda_d2_uncertainty
15,26.772,33.0576000000001,1.164,1.8623999999998937,1.5,10.0,0.3333333333333333,4.224026666666665,0.1873521463483363,3.0119146666666756,0.17288865906348336
16,26.772,32.82480000000005,1.164,2.095199999999947,1.6,9.682458365518542,0.30257682392245444,4.224026666666665,0.1873521463483363,2.990704000000005,0.1937092081489108
17,26.772,32.592,1.164,1.8623999999998937,1.7,9.393364366277241,0.27627542253756593,4.224026666666665,0.1873521463483363,2.9694933333333333,0.17279986724691518
18,26.539199999999944,32.359199999999944,0.9311999999999468,1.6295999999998412,1.8,9.128709291752768,0.2535752581042436,4.187295999999991,0.15144235835480194,2.9482826666666613,0.15197442062858166
19,26.539199999999944,32.359199999999944,0.9311999999999468,1.6295999999998412,1.9,8.885233166386385,0.23382192543122068,4.187295999999991,0.15144235835480194,2.9482826666666613,0.15197442062858166
20,26.539199999999944,32.359199999999944,0.9311999999999468,1.6295999999998412,2.0,8.660254037844387,0.2165063509461097,4.187295999999991,0.15144235835480194,2.9482826666666613,0.15197442062858166
21,26.539199999999944,32.359199999999944,0.9311999999999468,1.6295999999998412,2.1,8.451542547285166,0.2012272035067897,4.187295999999991,0.15144235835480194,2.9482826666666613,0.15197442062858166
22,26.539199999999944,31.195199999999947,0.9311999999999468,1.3968000000000527,2.2,8.257228238447704,0.18766427814653872,4.187295999999991,0.15144235835480194,2.842229333333328,0.1310470786143241
23,26.306399999999893,30.962399999999892,0.6983999999998939,1.164,2.3,8.075728530872484,0.17555931588853227,4.150565333333315,0.11604843963840095,2.8210186666666566,0.11049882266540532
24,26.07359999999984,30.496799999999787,0.9311999999999468,1.164,2.4,7.905694150420948,0.16470196146710311,4.113834666666641,0.15128743021808863,2.7785973333333134,0.11036872160916324
25,25.607999999999997,30.496799999999787,0.46560000000010565,1.164,2.5,7.745966692414834,0.15491933384829668,4.040373333333332,0.08156048557479578,2.7785973333333134,0.11036872160916324
26,25.607999999999997,30.264,0.46560000000010565,0.9312000000002113,2.6,7.5955452531275,0.14606817794475963,4.040373333333332,0.08156048557479578,2.7573866666666667,0.09010004996037786
27,25.607999999999997,30.031199999999945,0.46560000000010565,0.6984000000001588,2.7,7.453559924999299,0.138028887499987,4.040373333333332,0.08156048557479578,2.736175999999995,0.07038946584572979
28,25.375199999999946,30.031199999999945,0.6984000000001588,0.6984000000001588,2.8,7.319250547113999,0.1307009026270357,4.003642666666658,0.11565075807611674,2.736175999999995,0.07038946584572979
29,25.375199999999946,29.79839999999989,0.6984000000001588,0.46560000000010565,2.9,7.191949522280762,0.12399912969449592,4.003642666666658,0.11565075807611674,2.7149653333333235,0.05187705087222875
30,24.67680000000005,29.565600000000103,0.9311999999999468,0.6983999999998939,3.0,7.0710678118654755,0.11785113019775793,3.8934506666666744,0.1508382018302978,2.693754666666676,0.07019125701876755
31,24.444,29.332800000000052,0.6983999999998939,0.9311999999999468,3.1,6.9560834364025235,0.11219489413552457,3.8567199999999993,0.11526610861414148,2.6725440000000047,0.08979025739198922
32,24.444,29.332800000000052,0.6983999999998939,0.9311999999999468,3.2,6.846531968814577,0.10697706201272777,3.8567199999999993,0.11526610861414148,2.6725440000000047,0.08979025739198922
33,24.444,29.099999999999998,0.6983999999998939,1.164,3.3,6.741998624632421,0.10215149431261246,3.8567199999999993,0.11526610861414148,2.651333333333333,0.10998937080069489
34,24.211199999999945,28.867199999999944,0.4655999999998412,0.9311999999999468,3.4,6.642111641550715,0.09767811237574582,3.819989333333324,0.0807395797264515,2.6301226666666615,0.08963860247026935
35,24.211199999999945,28.867199999999944,0.4655999999998412,0.9311999999999468,3.5,6.546536707079771,0.09352195295828246,3.819989333333324,0.0807395797264515,2.6301226666666615,0.08963860247026935
36,24.211199999999945,28.634399999999893,0.4655999999998412,0.6983999999998939,3.6,6.454972243679028,0.08965239227331984,3.819989333333324,0.0807395797264515,2.6089119999999903,0.06980250727933265
37,24.211199999999945,28.634399999999893,0.4655999999998412,0.6983999999998939,3.7,6.367145399670133,0.08604250540094774,3.819989333333324,0.0807395797264515,2.6089119999999903,0.06980250727933265
38,24.211199999999945,28.168799999999788,0.4655999999998412,1.164,3.8,6.282808624375432,0.08266853453125571,3.819989333333324,0.0807395797264515,2.566490666666647,0.10974566009810888
39,23.978399999999894,27.70320000000021,0.6983999999998939,1.164,3.9,6.201736729460423,0.0795094452494926,3.7832586666666495,0.11507871193096267,2.5240693333333524,0.10962658022332382
40,23.978399999999894,27.70320000000021,0.6983999999998939,1.164,4.0,6.123724356957945,0.07654655446197432,3.7832586666666495,0.11507871193096267,2.5240693333333524,0.10962658022332382
41,23.978399999999894,27.70320000000021,0.6983999999998939,1.164,4.1,6.048583789091339,0.0737632169401383,3.7832586666666495,0.11507871193096267,2.5240693333333524,0.10962658022332382
42,23.745600000000103,27.70320000000021,0.46560000000010565,1.164,4.2,5.976143046671968,0.07114456007942818,3.746528000000015,0.08047439925438472,2.5240693333333524,0.10962658022332382
43,23.745600000000103,27.70320000000021,0.46560000000010565,1.164,4.3,5.906244232186183,0.06867725851379283,3.746528000000015,0.08047439925438472,2.5240693333333524,0.10962658022332382
44,23.745600000000103,27.470400000000158,0.46560000000010565,0.9311999999999468,4.4,5.8387420812114215,0.06634934183194797,3.746528000000015,0.08047439925438472,2.5028586666666803,0.08919673494934548
45,23.512800000000052,27.237600000000104,0.2328000000000526,1.164,4.5,5.773502691896258,0.06415002990995843,3.7097973333333414,0.04906770023872174,2.481648000000009,0.10950935874557553
46,23.279999999999998,27.237600000000104,0.46560000000010565,1.164,4.6,5.710402407201608,0.06206959138262618,3.673066666666666,0.08021351662220709,2.481648000000009,0.10950935874557553
47,23.279999999999998,27.237600000000104,0.46560000000010565,1.164,4.7,5.64932682866032,0.060099221581492765,3.673066666666666,0.08021351662220709,2.481648000000009,0.10950935874557553
48,23.279999999999998,27.004800000000053,0.46560000000010565,0.9311999999999468,4.8,5.5901699437494745,0.05823093691405703,3.673066666666666,0.08021351662220709,2.460437333333338,0.08905384762708282
49,23.279999999999998,27.004800000000053,0.46560000000010565,0.9311999999999468,4.9,5.532833351724881,0.05645748318086614,3.673066666666666,0.08021351662220709,2.460437333333338,0.08905384762708282
50,23.279999999999998,26.772,0.46560000000010565,1.164,5.0,5.477225575051661,0.05477225575051662,3.673066666666666,0.08021351662220709,2.4392266666666664,0.10939400163897757
